Block|DatabaseName|ServerName|RunAtUtc|SqlServerVersion
-----|------------|----------|--------|----------------
PREAMBLE|NexGenErpDb|DESKTOP-FIIBE97\SQLEXPRESS|2026-08-26 15:58:54.7695433|Microsoft SQL Server 2019 (RTM) - 15.0.2000.5 (X64) 
	Sep 24 2019 13:48:23 
	Copyright (C) 2019 Microsoft Corporation
	Express Edition (64-bit) on Windows 10 Pro 10.0 <X64> (Build 26200: ) (Hypervisor)

Block|TableName|IndexName|IndexType|IsUnique|IsPrimaryKey|IsUniqueConstraint|HasFilter|FilterDefinition|KeyColumns
BLOCK1-CONSTRAINTS|PurchaseSCN|PK_PurchaseSCN|CLUSTERED|1|1|0|0||SCNId
BLOCK1-CONSTRAINTS|PurchaseSCNSub|PK_PurchaseSCNSub|CLUSTERED|1|1|0|0||SCNSubId
BLOCK1-CONSTRAINTS|PurchPo|PK_PurchPo|CLUSTERED|1|1|0|0||PoId
BLOCK1-CONSTRAINTS|PurchPoSub|PK_PurchPoSub|CLUSTERED|1|1|0|0||PoSubId
BLOCK1-CONSTRAINTS|RawMaterial|PK_RawMaterial|CLUSTERED|1|1|0|0||RMId
BLOCK1-CONSTRAINTS|Receipts|PK_Receipts|CLUSTERED|1|1|0|0||ReceiptId
BLOCK1-CONSTRAINTS|ReceiptsSub|PK_ReceiptsSub|CLUSTERED|1|1|0|0||ReceiptSubId
BLOCK1-CONSTRAINTS|RejectionMaster|PK_RejectionMaster|CLUSTERED|1|1|0|0||RejectionId
BLOCK1-CONSTRAINTS|RouteCard|PK_RouteCard|CLUSTERED|1|1|0|0||RCId
BLOCK1-CONSTRAINTS|RouteCardRelease|PK_RouteCardRelease|CLUSTERED|1|1|0|0||RouteCardReleaseId
BLOCK1-CONSTRAINTS|RouteCardReleaseSub|PK_RouteCardReleaseSub|CLUSTERED|1|1|0|0||RouteCardReleaseSubId
BLOCK1-CONSTRAINTS|RouteCardSub|PK_RouteCardSub|CLUSTERED|1|1|0|0||RCSubId
BLOCK1-CONSTRAINTS|Salary|PK_Salary|CLUSTERED|1|1|0|0||RowId
BLOCK1-CONSTRAINTS|SalaryHeadPrintsSetting|PK_SalaryHeadPrintsSetting|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|SCNGen|PK_SCNGen|CLUSTERED|1|1|0|0||SCNGenId
BLOCK1-CONSTRAINTS|SCNGenSub|PK_SCNGenSub|CLUSTERED|1|1|0|0||SCNGenSubId
BLOCK1-CONSTRAINTS|ScreenManagements|PK_ScreenManagements|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|Screens|PK_Screens|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|ServiceBills|PK_ServiceBills|CLUSTERED|1|1|0|0||ServiceId
BLOCK1-CONSTRAINTS|ServiceBillsSub|PK_ServiceBillsSub|CLUSTERED|1|1|0|0||ServiceBillSubId
BLOCK1-CONSTRAINTS|ShiftAllocation|PK_ShiftAllocation|CLUSTERED|1|1|0|0||ShiftId
BLOCK1-CONSTRAINTS|Staff|PK_Staff|CLUSTERED|1|1|0|0||StaffID
BLOCK1-CONSTRAINTS|StaffEducation|PK_StaffEducation|CLUSTERED|1|1|0|0||Slno
BLOCK1-CONSTRAINTS|StaffEmergency|PK_StaffEmergency|CLUSTERED|1|1|0|0||SlNo
